# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ARHGAP45	ARHGAP45	NM_001321232.1	protein_coding	0	3	1	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	3
ARHGAP45	ARHGAP45	NM_012292.4	protein_coding	0	3	1	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	3
ARHGEF18	ARHGEF18	NM_001130955.2	protein_coding	0	2	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0
ARHGEF18	ARHGEF18	NM_001367823.1	protein_coding	0	2	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0
ARHGEF18	ARHGEF18	NM_001367824.1	protein_coding	0	2	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0
ARHGEF18	ARHGEF18	NM_015318.4	protein_coding	0	2	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0
ARID3A	ARID3A	NM_005224.3	protein_coding	0	6	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0
ATG4D	ATG4D	NM_001281504.2	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ATG4D	ATG4D	NM_032885.6	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ATG4D	ATG4D	NR_104024.2		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ATG4D	ATG4D	NR_104025.2		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ATP8B3	ATP8B3	NM_001178002.3	protein_coding	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0
ATP8B3	ATP8B3	NM_138813.4	protein_coding	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0
ATP8B3	ATP8B3	NR_047593.3		0	1	0	4	0	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0
BEST2	BEST2	NM_017682.3	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BTBD2	BTBD2	NM_017797.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
C19orf38	C19orf38	NM_001136482.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
C19orf57	C19orf57	NM_001345843.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C19orf57	C19orf57	NM_001345844.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C19orf57	C19orf57	NM_001345846.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C19orf57	C19orf57	NM_001345847.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C19orf57	C19orf57	NM_001345848.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
C19orf57	C19orf57	NM_024323.5	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C19orf71	C19orf71	NM_001135580.1	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
C2CD4C	C2CD4C	NM_001136263.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C3	C3	NM_000064.4	protein_coding	0	8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	6	0
CACNA1A	CACNA1A	NM_000068.4	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1A	CACNA1A	NM_001127221.1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1A	CACNA1A	NM_001127222.2	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1A	CACNA1A	NM_001174080.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1A	CACNA1A	NM_023035.3	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CACTIN	CACTIN	NM_001080543.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CACTIN	CACTIN	NM_021231.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CACTIN-AS1	CACTIN-AS1	NR_038865.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CARM1	CARM1	NM_001370088.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CARM1	CARM1	NM_001370089.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CARM1	CARM1	NM_199141.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CBARP	CBARP	NM_152769.3	protein_coding	0	0	1	4	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0
CC2D1A	CC2D1A	NM_017721.5	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CCDC130	CCDC130	NM_001320561.2	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CCDC130	CCDC130	NM_001320564.2	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CCDC130	CCDC130	NM_001320565.2	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CCDC130	CCDC130	NM_001320566.2	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CCDC130	CCDC130	NM_001320567.2	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CCDC130	CCDC130	NM_001320568.2	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CCDC130	CCDC130	NM_001320569.2	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CCDC130	CCDC130	NM_030818.4	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CCDC151	CCDC151	NM_001302453.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CCDC151	CCDC151	NM_001302454.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CCDC151	CCDC151	NM_145045.5	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CD320	CD320	NM_001165895.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CD320	CD320	NM_016579.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDC34	CDC34	NM_004359.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CDKN2D	CDKN2D	NM_001800.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDKN2D	CDKN2D	NM_079421.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CHAF1A	CHAF1A	NM_005483.3	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CIRBP	CIRBP	NM_001280.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CIRBP	CIRBP	NM_001300815.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CIRBP	CIRBP	NM_001300829.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CIRBP	CIRBP	NR_023312.3		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CIRBP	CIRBP	NR_023313.3		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CIRBP-AS1	CIRBP-AS1	NR_027271.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLEC17A	CLEC17A	NM_001204118.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
CLEC17A	CLEC17A	NM_207390.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
CLEC17A	CLEC17A	NR_109784.1		0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
CLEC17A	CLEC17A	NR_109785.1		0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
CLEC4M	CLEC4M	NM_001144904.2	protein_coding	0	0	1	3	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
CLEC4M	CLEC4M	NM_001144905.2	protein_coding	0	0	1	3	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
CLEC4M	CLEC4M	NM_001144906.2	protein_coding	0	0	1	3	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
CLEC4M	CLEC4M	NM_001144907.2	protein_coding	0	0	1	3	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
CLEC4M	CLEC4M	NM_001144908.2	protein_coding	0	0	1	3	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
CLEC4M	CLEC4M	NM_001144909.2	protein_coding	0	0	1	3	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
CLEC4M	CLEC4M	NM_001144910.2	protein_coding	0	0	1	3	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
CLEC4M	CLEC4M	NM_001144911.2	protein_coding	0	0	1	3	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
CLEC4M	CLEC4M	NM_014257.5	protein_coding	0	0	1	3	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
CLEC4M	CLEC4M	NR_026707.2		0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
CLEC4M	CLEC4M	NR_026708.2		0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
CLEC4M	CLEC4M	NR_026709.2		0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
COL5A3	COL5A3	NM_015719.4	protein_coding	0	3	6	0	0	0	0	0	0	0	0	1	6	0	0	0	4	0	0	2	0
CREB3L3	CREB3L3	NM_001271995.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CREB3L3	CREB3L3	NM_001271996.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CREB3L3	CREB3L3	NM_001271997.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CREB3L3	CREB3L3	NM_032607.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DENND1C	DENND1C	NM_001290331.2	protein_coding	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
DENND1C	DENND1C	NM_024898.4	protein_coding	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
DHPS	DHPS	NM_001206974.1	protein_coding	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHPS	DHPS	NM_001369691.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DHPS	DHPS	NM_001369692.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DHPS	DHPS	NM_001369693.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DHPS	DHPS	NM_001930.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DHPS	DHPS	NM_013406.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DHPS	DHPS	NR_038192.1		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DHPS	DHPS	NR_161467.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DHPS	DHPS	NR_161468.1		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DHPS	DHPS	NR_161469.1		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DNM2	DNM2	NM_001005360.2	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
DNM2	DNM2	NM_001005361.2	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
DNM2	DNM2	NM_001005362.2	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
DNM2	DNM2	NM_001190716.2	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
DNM2	DNM2	NM_004945.3	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
DNMT1	DNMT1	NM_001130823.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DNMT1	DNMT1	NM_001318730.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DNMT1	DNMT1	NM_001318731.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DNMT1	DNMT1	NM_001379.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DOCK6	DOCK6	NM_001367830.1	protein_coding	0	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0
DOCK6	DOCK6	NM_020812.4	protein_coding	0	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0
DOHH	DOHH	NM_001145165.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DOHH	DOHH	NM_031304.5	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DOT1L	DOT1L	NM_032482.3	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
EIF3G	EIF3G	NM_003755.5	protein_coding	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
ELAVL3	ELAVL3	NM_001420.4	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
ELAVL3	ELAVL3	NM_032281.3	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
EVI5L	EVI5L	NM_001159944.3	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
EVI5L	EVI5L	NM_145245.5	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
FAM174C	FAM174C	NM_017914.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FBN3	FBN3	NM_001321431.1	protein_coding	0	6	4	0	0	0	0	0	0	0	0	1	4	0	0	0	1	0	0	5	0
FBN3	FBN3	NM_032447.5	protein_coding	0	6	4	0	0	0	0	0	0	0	0	1	4	0	0	0	1	0	0	5	0
FBXL12	FBXL12	NM_001316936.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FBXL12	FBXL12	NM_001316937.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FBXL12	FBXL12	NM_001316938.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FBXL12	FBXL12	NM_001316939.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FBXL12	FBXL12	NM_001316940.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FBXL12	FBXL12	NM_001316941.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FBXL12	FBXL12	NM_001316942.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FBXL12	FBXL12	NM_017703.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FCER2	FCER2	NM_001207019.2	protein_coding	0	0	1	3	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1
FCER2	FCER2	NM_001220500.2	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
FCER2	FCER2	NM_002002.4	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
FDX2	FDX2	NM_001031734.4	protein_coding	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1
FSD1	FSD1	NM_001330429.1	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
FSD1	FSD1	NM_024333.3	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
FSTL3	FSTL3	NM_005860.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FUT5	FUT5	NM_002034.2	protein_coding	0	3	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0
GET3	GET3	NM_001371488.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GET3	GET3	NM_001371489.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GET3	GET3	NM_004317.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GIPC1	GIPC1	NM_005716.4	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0
GIPC1	GIPC1	NM_202468.3	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0
GIPC1	GIPC1	NM_202469.3	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0
GIPC1	GIPC1	NM_202470.3	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0
GIPC1	GIPC1	NM_202494.2	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0
GIPC3	GIPC3	NM_133261.3	protein_coding	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GNA11	GNA11	NM_002067.5	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GPR108	GPR108	NM_001080452.1	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
GPR108	GPR108	NM_020171.2	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
GRIN3B	GRIN3B	NM_138690.3	protein_coding	1	7	8	5	0	0	0	1	1	5	1	0	6	0	0	0	0	0	0	7	0
GTF2F1	GTF2F1	NM_002096.3	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
HCN2	HCN2	NM_001194.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HDGFL2	HDGFL2	NM_001001520.3	protein_coding	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
HDGFL2	HDGFL2	NM_001348169.1	protein_coding	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
HDGFL2	HDGFL2	NM_032631.4	protein_coding	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
HNRNPM	HNRNPM	NM_001297418.2	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
HNRNPM	HNRNPM	NM_005968.5	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
HNRNPM	HNRNPM	NM_031203.4	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
HOOK2	HOOK2	NM_001100176.2	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
HOOK2	HOOK2	NM_013312.3	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ICAM1	ICAM1	NM_000201.3	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ICAM3	ICAM3	NM_001320605.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
